Timestep,Reward
0,-1.548506465397554
1,-1.4769317678304918
2,-1.144836487056297
3,-0.7706564303177003
4,-0.4702591468282145
5,-0.2648338260556832
6,-0.1416442316270115
7,-0.07274651487586133
8,-0.03617955838268111
9,-0.017532400620537437
10,-0.160148287907076
11,-0.0553560450773188
12,-0.01762777278751144
13,-0.0030161777223762717
14,-0.0013129640137919452
15,-0.0007511398398452929
16,-0.0005540628980158067
17,-0.0004940758254133898
18,-0.0004560063562161828
19,-0.00042762097158452814
20,-0.3189928867829436
21,-0.0892850915796048
22,-0.019637868980821042
23,-0.0054281551296190686
24,-0.0017067092151052845
25,-0.0007733885547370998
26,-0.0004879238152605206
27,-0.00038411791729687107
28,-0.0003112296649668504
29,-0.0002543842659306632
30,-0.3900207419936171
31,-0.10521351254493526
32,-0.02098535432423067
33,-0.005323751806253752
34,-0.0016142725289836467
35,-0.0007154612687373932
36,-0.0004567590959700234
37,-0.00036754807393961565
38,-0.00030201055580209745
39,-0.0002160126568121583
40,-0.15949305432748057
41,-0.1779958500542972
42,-0.05406918125289137
43,-0.01376888006170682
44,-0.0030701561809040137
45,-0.0011938403566003634
46,-0.0008418200250027699
47,-0.0006589138676187254
48,-0.0005642733884984337
49,-0.0005164735670663642
50,-0.0004900026642995521
51,-0.08816701284810455
52,-0.009303173938382887
53,-0.0014106173564036805
54,-0.0003838324822894346
55,-0.00014909118037936066
56,-7.527022396427058e-05
57,-4.401867459936784e-05
58,-2.813535236043708e-05
59,-1.9417538056052225e-05
60,-1.426913591573246e-05
61,-1.1307119348325785e-05
62,-9.655619842526518e-06
63,-8.324345204204472e-06
64,-7.20207972396337e-06
65,-6.248297435572532e-06
66,-5.432666131163388e-06
67,-4.7326402850776235e-06
68,-4.130005883040555e-06
69,-3.6098696110891133e-06
70,-3.160021967024565e-06
71,-2.7701142749040114e-06
72,-2.4315165874756057e-06
73,-2.137006904235757e-06
74,-1.8804067493957853e-06
75,-1.6565108635578553e-06
76,-1.4608833570543663e-06
77,-1.2897316484204252e-06
78,-1.1398055053270109e-06
79,-1.0083136877354621e-06
80,-8.928546180981736e-07
81,-7.913584152461431e-07
82,-7.020382185164756e-07
83,-6.233491626158614e-07
